CustomerID,ChurningProbability,ModelChurningPrediction
2832-KJCRD,0.5083255393461683,1
6048-QBXKL,0.5078887494092172,1
6729-GDNGC,0.5077814502367275,1
8012-SOUDQ,0.5071908120652919,1
7339-POGZN,0.5071452153323276,1
2692-BUCFV,0.5067103129857444,1
6212-ATMLK,0.5066124927639264,1
6339-DKLMK,0.5058401780262257,1
5916-QEWPT,0.5051132871781002,1
6786-OBWQR,0.503859665408597,1
8993-IZEUX,0.5029302301943442,1
0082-OQIQY,0.502891436412117,1
1346-UFHAX,0.5027974776213499,1
2831-EBWRN,0.5027616268769236,1
5153-RTHKF,0.5019536168440099,1
3665-JATSN,0.5008760555061313,1
2697-NQBPF,0.4999777668476267,1
3995-WFCSM,0.4993324460326329,1
9508-ILZDG,0.49906016205177767,1
0577-WHMEV,0.49794172994242736,1
5168-MSWXT,0.4976876942676844,1
2085-BOJKI,0.4974803403814452,1
7852-LECYP,0.4972459972947658,1
7967-HYCDE,0.4972409841124371,1
5650-YLIBA,0.4968218689307469,1
2637-FKFSY,0.49615975734852336,1
7129-CAKJW,0.49585149183162125,1
0141-YEAYS,0.4958508421198701,1
6522-YRBXD,0.49579773853250414,1
7442-YGZFK,0.49522128166548224,1
9944-AEXBM,0.4951247398958862,1
8819-IMISP,0.4931017648438378,1
9314-IJWSQ,0.49288501213463976,1
8563-OYMQY,0.49268800569277094,1
2122-YWVYA,0.4925047800252362,1
0708-LGSMF,0.49157015113060837,1
2782-LFZVW,0.4915579513273454,1
5630-IXDXV,0.49148252962769,1
7404-JLKQG,0.49136700260102306,1
7011-CVEUC,0.49055682670200357,1
7077-XJMET,0.4900319298748659,1
6692-YQHXC,0.4899957987091611,1
7460-ITWWP,0.4887473284609108,1
6542-LWGXJ,0.48868359378231674,1
2495-KZNFB,0.48775087446598386,1
3798-EPWRR,0.4870806129062529,1
2675-OTVVJ,0.4866450365317749,1
5222-IMUKT,0.48662696167565056,1
2209-XADXF,0.4865726359868231,1
